,0
N4-acetylcytidine,0.8544715649320026
vanillylmandelate (VMA),-0.8271798903459736
3-(4-hydroxyphenyl)lactate,-0.7907185003685983
N-acetylglucosamine/N-acetylgalactosamine,0.7878823474532614
1-methylurate,-0.7109561132772544
N-acetylglutamate,0.7094664800403956
X-13866,0.6005906688716413
X-18886,0.5910366519796286
N-acetylhistidine,0.5861824954366366
N-palmitoyl-sphingosine (d18:1/16:0),0.5713102449201632
4-vinylguaiacol sulfate,-0.5038787982769323
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",-0.4931605514700872
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),0.4876097645832692
"sphingomyelin (d18:1/24:1, d18:2/24:0)*",0.34877779845412693
glycodeoxycholate 3-sulfate,0.2987052193739032
